WS,Temp,H,In,O
50,77,67,78,15
47,80,66,77,20
57,75,77,73,13
38,72,73,69,21
52,71,75,78,12
57,74,75,80,12
53,78,64,75,12
62,82,59,78,11
52,82,60,75,12
42,82,62,58,20
47,82,59,76,11
40,80,66,76,17
42,81,68,71,20
40,85,62,74,23
48,82,70,73,17
50,79,66,72,16
55,72,63,69,10
52,72,61,57,11
48,76,60,74,11
52,77,59,72,9
52,73,58,67,5
48,68,63,30,5
65,67,65,23,4
53,71,53,72,7
36,75,54,78,18
45,81,44,81,17
43,84,46,78,23
42,83,43,78,23
35,87,44,77,24
43,92,35,79,25
