Month,Dayweek,Time,State,Hour
July,Saturday,16:47:00,VIC,16
October,Saturday,18:25:00,VIC,18
May,Tuesday,20:15:00,VIC,20
February,Wednesday,15:45:00,SA,15
March,Friday,18:00:00,TAS,18
April,Saturday,19:30:00,NT,19
December,Saturday,19:49:00,WA,19
April,Friday,13:25:00,VIC,13
April,Thursday,04:00:00,QLD,4
November,Thursday,11:00:00,QLD,11
December,Friday,15:00:00,QLD,15
May,Saturday,06:30:00,VIC,6
October,Monday,10:20:00,SA,10
September,Thursday,19:00:00,QLD,19
March,Monday,15:18:00,NSW,15
May,Sunday,08:15:00,WA,8
November,Tuesday,23:10:00,NSW,23
October,Tuesday,18:30:00,ACT,18
November,Saturday,21:30:00,SA,21
March,Saturday,00:00:00,QLD,0
April,Friday,22:00:00,QLD,22
April,Sunday,12:35:00,SA,12
June,Thursday,10:20:00,SA,10
December,Sunday,09:35:00,SA,9
October,Friday,14:00:00,QLD,14
July,Tuesday,09:00:00,QLD,9
March,Tuesday,01:40:00,VIC,1
November,Tuesday,18:00:00,QLD,18
March,Thursday,23:45:00,VIC,23
March,Sunday,14:00:00,NSW,14
November,Wednesday,12:00:00,NSW,12
September,Tuesday,17:25:00,VIC,17
August,Friday,07:10:00,NSW,7
December,Wednesday,14:00:00,QLD,14
June,Saturday,23:00:00,QLD,23
June,Sunday,01:00:00,QLD,1
June,Monday,16:32:00,NSW,16
March,Sunday,14:00:00,QLD,14
January,Saturday,20:00:00,QLD,20
July,Friday,23:00:00,VIC,23
November,Friday,05:35:00,VIC,5
September,Friday,15:40:00,NSW,15
October,Sunday,00:20:00,ACT,0
May,Saturday,17:30:00,SA,17
May,Thursday,21:00:00,QLD,21
August,Thursday,19:10:00,NSW,19
September,Saturday,17:45:00,VIC,17
March,Wednesday,05:45:00,VIC,5
November,Friday,15:00:00,NT,15
July,Thursday,11:15:00,TAS,11
July,Thursday,09:15:00,WA,9
December,Friday,09:20:00,NSW,9
August,Monday,03:15:00,VIC,3
June,Tuesday,16:30:00,NSW,16
March,Saturday,04:40:00,WA,4
August,Sunday,01:30:00,VIC,1
October,Thursday,09:15:00,TAS,9
September,Saturday,19:38:00,VIC,19
August,Saturday,11:00:00,VIC,11
August,Wednesday,05:00:00,QLD,5
October,Monday,19:10:00,VIC,19
May,Monday,10:03:00,VIC,10
January,Sunday,03:45:00,WA,3
August,Wednesday,17:00:00,QLD,17
August,Friday,05:30:00,NT,5
June,Saturday,23:00:00,NSW,23
April,Monday,14:00:00,QLD,14
February,Thursday,09:25:00,SA,9
February,Saturday,21:30:00,VIC,21
November,Friday,14:15:00,WA,14
September,Monday,16:00:00,QLD,16
April,Sunday,13:20:00,VIC,13
June,Sunday,03:00:00,ACT,3
September,Monday,05:00:00,VIC,5
December,Wednesday,00:00:00,QLD,0
September,Saturday,23:00:00,QLD,23
July,Saturday,08:35:00,WA,8
May,Saturday,02:40:00,SA,2
August,Saturday,07:56:00,NSW,7
January,Friday,14:00:00,QLD,14
September,Monday,11:30:00,NSW,11
September,Saturday,16:00:00,QLD,16
February,Friday,08:55:00,VIC,8
February,Sunday,23:00:00,NSW,23
March,Saturday,12:10:00,NSW,12
July,Saturday,16:50:00,NSW,16
