sort_order,wmo,full_name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type,cloud_type_id,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
111,94768,Sydney - Observatory Hill,IDN60801,25/04:00am,2018-07-24T18:00:00Z,2018-07-24T18:00:00Z,-33.8607,151.205,9.6,-,NA,NA,-,NA,5.6,NA,NA,13,-0.6,1014.4,1014.4,1014.4,-,0,39,-,-,NA,NA,-,-,WNW,7,4
112,94768,Sydney - Observatory Hill,IDN60801,25/03:30am,2018-07-24T17:30:00Z,2018-07-24T17:30:00Z,-33.8607,151.205,10.5,-,NA,NA,-,NA,5.9,NA,NA,13.4,-1.3,1014.5,1014.5,1014.5,-,0,36,-,-,NA,NA,-,-,WNW,4,2
113,94768,Sydney - Observatory Hill,IDN60801,25/03:00am,2018-07-24T17:00:00Z,2018-07-24T17:00:00Z,-33.8607,151.205,11.6,-,NA,NA,-,NA,6.2,NA,NA,13.8,-1.4,1014.4,1014.4,1014.4,-,0,35,-,-,NA,NA,-,-,CALM,0,0
114,94768,Sydney - Observatory Hill,IDN60801,25/02:30am,2018-07-24T16:30:00Z,2018-07-24T16:30:00Z,-33.8607,151.205,10.3,-,NA,NA,-,NA,6.1,NA,NA,13.8,-1,1014.3,1014.3,1014.3,-,0,36,-,-,NA,NA,-,-,W,7,4
115,94768,Sydney - Observatory Hill,IDN60801,25/02:00am,2018-07-24T16:00:00Z,2018-07-24T16:00:00Z,-33.8607,151.205,11.1,-,NA,NA,-,NA,6,NA,NA,13.6,-1.2,1014.2,1014.2,1014.2,-,0,36,-,-,NA,NA,-,-,SSW,2,1
116,94768,Sydney - Observatory Hill,IDN60801,25/01:30am,2018-07-24T15:30:00Z,2018-07-24T15:30:00Z,-33.8607,151.205,11.4,-,NA,NA,-,NA,6.3,NA,NA,14,-1.6,1014.2,1014.2,1014.2,-,0,34,-,-,NA,NA,-,-,SE,2,1
117,94768,Sydney - Observatory Hill,IDN60801,25/01:00am,2018-07-24T15:00:00Z,2018-07-24T15:00:00Z,-33.8607,151.205,11,-,NA,NA,-,NA,6.4,NA,NA,14.3,-1.3,1014.2,1014.2,1014.2,-,0,34,-,-,NA,NA,-,-,ESE,6,3
118,94768,Sydney - Observatory Hill,IDN60801,25/12:30am,2018-07-24T14:30:00Z,2018-07-24T14:30:00Z,-33.8607,151.205,12.1,-,NA,NA,-,NA,6.7,NA,NA,14.7,-1.8,1014.2,1014.2,1014.2,-,0,32,-,-,NA,NA,-,-,WSW,2,1
119,94768,Sydney - Observatory Hill,IDN60801,25/12:00am,2018-07-24T14:00:00Z,2018-07-24T14:00:00Z,-33.8607,151.205,11.9,-,NA,NA,-,NA,6.7,NA,NA,14.9,-1.6,1014.2,1014.2,1014.2,-,0,32,-,-,NA,NA,-,-,W,4,2
120,94768,Sydney - Observatory Hill,IDN60801,24/11:30pm,2018-07-24T13:30:00Z,2018-07-24T13:30:00Z,-33.8607,151.205,11.1,-,NA,NA,-,NA,6.7,NA,NA,14.7,-1.8,1014.3,1014.3,1014.3,-,0,32,-,-,NA,NA,-,-,WNW,7,4
121,94768,Sydney - Observatory Hill,IDN60801,24/11:00pm,2018-07-24T13:00:00Z,2018-07-24T13:00:00Z,-33.8607,151.205,11.3,-,NA,NA,-,NA,6.9,NA,NA,15.2,-1.8,1014.2,1014.2,1014.2,-,0,31,-,-,NA,NA,-,-,W,9,5
122,94768,Sydney - Observatory Hill,IDN60801,24/10:30pm,2018-07-24T12:30:00Z,2018-07-24T12:30:00Z,-33.8607,151.205,11.1,-,NA,NA,-,NA,7,NA,NA,15.1,-2.3,1014.1,1014.1,1014.1,-,0,30,-,-,NA,NA,-,-,W,9,5
123,94768,Sydney - Observatory Hill,IDN60801,24/10:00pm,2018-07-24T12:00:00Z,2018-07-24T12:00:00Z,-33.8607,151.205,13.1,-,NA,NA,-,NA,7.8,NA,NA,16.6,-2.5,1014,1014,1014,-,0,27,-,-,NA,NA,-,-,W,6,3
124,94768,Sydney - Observatory Hill,IDN60801,24/09:30pm,2018-07-24T11:30:00Z,2018-07-24T11:30:00Z,-33.8607,151.205,10.7,-,NA,NA,-,NA,7.7,NA,NA,16.6,-2,1013.5,1013.5,1013.5,-,0,28,-,-,NA,NA,-,-,NW,19,10
125,94768,Sydney - Observatory Hill,IDN60801,24/09:00pm,2018-07-24T11:00:00Z,2018-07-24T11:00:00Z,-33.8607,151.205,11.7,-,NA,NA,-,NA,7.8,NA,NA,16.8,-2.3,1013.6,1013.6,1013.6,-,0,27,-,-,NA,NA,-,-,WNW,15,8
126,94768,Sydney - Observatory Hill,IDN60801,24/08:30pm,2018-07-24T10:30:00Z,2018-07-24T10:30:00Z,-33.8607,151.205,12.4,-,NA,NA,-,NA,7.9,NA,NA,17.1,-2,1013.7,1013.7,1013.7,-,0,27,-,-,NA,NA,-,-,NW,13,7
127,94768,Sydney - Observatory Hill,IDN60801,24/08:00pm,2018-07-24T10:00:00Z,2018-07-24T10:00:00Z,-33.8607,151.205,14.8,-,NA,NA,-,NA,8.8,NA,NA,18.3,-3.2,1013.6,1013.6,1013.6,-,0,23,-,-,NA,NA,-,-,NW,6,3
128,94768,Sydney - Observatory Hill,IDN60801,24/07:30pm,2018-07-24T09:30:00Z,2018-07-24T09:30:00Z,-33.8607,151.205,12.8,-,NA,NA,-,NA,9,NA,NA,18.8,-3.3,1013.2,1013.2,1013.2,-,0,22,-,-,NA,NA,-,-,W,19,10
129,94768,Sydney - Observatory Hill,IDN60801,24/07:00pm,2018-07-24T09:00:00Z,2018-07-24T09:00:00Z,-33.8607,151.205,11.9,-,NA,NA,-,NA,9.3,NA,NA,19.3,-3.5,1012.7,1012.7,1012.7,-,0,21,-,-,NA,NA,-,-,W,26,14
130,94768,Sydney - Observatory Hill,IDN60801,24/06:30pm,2018-07-24T08:30:00Z,2018-07-24T08:30:00Z,-33.8607,151.205,13.3,-,NA,NA,-,NA,9.9,NA,NA,19.7,-5.3,1012.4,1012.4,1012.4,-,0,18,-,-,NA,NA,-,-,WNW,20,11
131,94768,Sydney - Observatory Hill,IDN60801,24/06:00pm,2018-07-24T08:00:00Z,2018-07-24T08:00:00Z,-33.8607,151.205,15.7,-,NA,NA,-,NA,10.4,NA,NA,20.2,-6.4,1011.9,1011.9,1011.9,-,0,16,-,-,NA,NA,-,-,WNW,9,5
132,94768,Sydney - Observatory Hill,IDN60801,24/05:30pm,2018-07-24T07:30:00Z,2018-07-24T07:30:00Z,-33.8607,151.205,15.9,-,NA,NA,-,NA,10.6,NA,NA,20.4,-7.1,1011.2,1011.2,1011.2,-,0,15,-,-,NA,NA,-,-,WNW,9,5
133,94768,Sydney - Observatory Hill,IDN60801,24/05:00pm,2018-07-24T07:00:00Z,2018-07-24T07:00:00Z,-33.8607,151.205,14.5,-,NA,NA,-,NA,10.8,NA,NA,21.1,-6.5,1010.8,1010.8,1010.8,-,0,15,-,-,NA,NA,-,-,NW,20,11
134,94768,Sydney - Observatory Hill,IDN60801,24/04:30pm,2018-07-24T06:30:00Z,2018-07-24T06:30:00Z,-33.8607,151.205,16,-,NA,NA,-,NA,11.1,NA,NA,21.9,-5.9,1010.7,1010.7,1010.7,-,0,15,-,-,NA,NA,-,-,NW,17,9
135,94768,Sydney - Observatory Hill,IDN60801,24/04:00pm,2018-07-24T06:00:00Z,2018-07-24T06:00:00Z,-33.8607,151.205,16.5,-,NA,NA,-,NA,11.7,NA,NA,23,-5.9,1010.7,1010.7,1010.7,-,0,14,-,-,NA,NA,-,-,NW,20,11
136,94768,Sydney - Observatory Hill,IDN60801,24/03:30pm,2018-07-24T05:30:00Z,2018-07-24T05:30:00Z,-33.8607,151.205,17.2,-,NA,NA,-,NA,11.7,NA,NA,23.1,-5.8,1010.6,1010.6,1010.6,-,0,14,-,-,NA,NA,-,-,NW,17,9
137,94768,Sydney - Observatory Hill,IDN60801,24/03:00pm,2018-07-24T05:00:00Z,2018-07-24T05:00:00Z,-33.8607,151.205,16.9,-,NA,NA,-,NA,12,NA,NA,23.7,-5.3,1010.7,1010.7,1010.7,-,0,14,-,-,NA,NA,-,-,NW,22,12
138,94768,Sydney - Observatory Hill,IDN60801,24/02:30pm,2018-07-24T04:30:00Z,2018-07-24T04:30:00Z,-33.8607,151.205,19.6,-,NA,NA,-,NA,11,NA,NA,23.5,-1.4,1010.8,1010.8,1010.8,-,0,19,-,-,NA,NA,-,-,ESE,9,5
139,94768,Sydney - Observatory Hill,IDN60801,24/02:00pm,2018-07-24T04:00:00Z,2018-07-24T04:00:00Z,-33.8607,151.205,15.9,-,NA,NA,-,NA,9.4,NA,NA,21.4,0.6,1010.9,1010.9,1010.9,-,0,25,-,-,NA,NA,-,-,ENE,19,10
140,94768,Sydney - Observatory Hill,IDN60801,24/01:30pm,2018-07-24T03:30:00Z,2018-07-24T03:30:00Z,-33.8607,151.205,16.3,-,NA,NA,-,NA,9.8,NA,NA,21.6,-0.4,1011.2,1011.2,1011.2,-,0,23,-,-,NA,NA,-,-,E,17,9
141,94768,Sydney - Observatory Hill,IDN60801,24/01:00pm,2018-07-24T03:00:00Z,2018-07-24T03:00:00Z,-33.8607,151.205,19.9,-,NA,NA,-,NA,10.8,NA,NA,22.9,-1.9,1011.7,1011.7,1011.7,-,0,19,-,-,NA,NA,-,-,ENE,4,2
142,94768,Sydney - Observatory Hill,IDN60801,24/12:30pm,2018-07-24T02:30:00Z,2018-07-24T02:30:00Z,-33.8607,151.205,18.3,-,NA,NA,-,NA,10.5,NA,NA,22,-2.7,1012.3,1012.3,1012.3,-,0,19,-,-,NA,NA,-,-,WNW,7,4
143,94768,Sydney - Observatory Hill,IDN60801,24/12:00pm,2018-07-24T02:00:00Z,2018-07-24T02:00:00Z,-33.8607,151.205,15.6,-,NA,NA,-,NA,9.2,NA,NA,20.2,-1,1012.6,1012.6,1012.6,-,0,24,-,-,NA,NA,-,-,NW,13,7
